monthly_income,monthly_expenses,monthly_emi,cash_flow_surplus,debt_to_income,average_balance,income_stability,expense_volatility,transaction_regularity,savings_rate,failed_payment_count,recurring_obligation_amount,existing_debt_amount,credit_history_available,credit_history_length,default_probability_ground_truth,default_risk
45321.8,19542.71,0.0,25779.09,0.0,33189.02,0.969,0.11,0.951,0.5688,0,9849.55,0.0,1,3,0.0035,0
33428.96,21894.34,1500.0,10034.62,0.0449,8303.67,0.758,0.192,0.774,0.345,0,4099.09,18000.0,0,0,0.5406,1
52557.88,26428.56,2500.0,23629.31,0.0476,35977.2,0.904,0.111,0.897,0.4972,0,9744.43,37500.0,1,9,0.009,0
40328.27,25730.67,0.0,14597.6,0.0,9457.76,0.799,0.105,0.905,0.362,0,4987.57,0.0,0,0,0.105,0
60226.5,35351.2,4500.0,20375.3,0.0747,16774.56,0.855,0.241,0.902,0.413,0,5765.62,54000.0,0,0,0.1474,0
29927.32,18084.17,3000.0,8843.14,0.1002,5666.82,0.771,0.142,0.842,0.3957,0,5406.59,36000.0,0,0,0.5733,1
42656.98,29680.79,3000.0,9976.19,0.0703,15550.99,0.715,0.154,0.77,0.3042,0,4869.89,36000.0,0,0,0.4498,0
36578.14,22496.9,3000.0,11081.24,0.082,10358.47,0.828,0.233,0.83,0.385,0,5139.73,36000.0,0,0,0.5096,1
122385.86,73279.65,6000.0,43106.21,0.049,27705.45,0.736,0.154,0.816,0.4012,0,11727.69,108000.0,0,0,0.0095,0
58704.92,28300.27,2500.0,27904.65,0.0426,33571.13,0.918,0.058,0.909,0.5179,0,9648.49,37500.0,1,7,0.0044,0
26702.4,23458.37,10000.0,-6755.97,0.3745,3769.9,0.661,0.474,0.58,0.1215,1,4911.74,240000.0,0,0,0.9999,1
35000.0,19054.75,3000.0,12945.25,0.0857,27764.14,0.718,0.291,0.848,0.4556,0,12327.17,54000.0,0,0,0.3264,1
15000.0,11354.52,6000.0,-2354.52,0.4,2960.23,0.622,0.376,0.513,0.243,1,7633.06,144000.0,0,0,0.9999,1
40718.57,24366.44,1500.0,14852.13,0.0368,11970.48,0.852,0.136,0.874,0.4016,0,4896.92,18000.0,0,0,0.1416,0
48790.39,27667.1,0.0,21123.29,0.0,30768.95,0.915,0.054,0.939,0.4329,0,5082.94,0.0,0,0,0.0056,0
29501.57,20302.61,1500.0,7698.96,0.0508,13894.37,0.887,0.121,0.808,0.3118,0,5774.08,18000.0,0,0,0.2639,0
40135.17,34654.49,10000.0,-4519.32,0.2492,1153.7,0.606,0.31,0.523,0.1366,3,7601.67,240000.0,1,16,0.9999,1
42175.53,30679.21,3000.0,8496.32,0.0711,13187.94,0.828,0.113,0.777,0.2726,0,4819.29,36000.0,0,0,0.3651,0
40344.58,22230.36,0.0,18114.22,0.0,9142.59,0.81,0.204,0.861,0.449,0,5136.54,0.0,0,0,0.1666,0
47268.76,32139.29,3000.0,12129.48,0.0635,8717.27,0.832,0.185,0.766,0.3201,0,3795.61,36000.0,0,0,0.4693,0
37383.19,27230.26,1500.0,8652.93,0.0401,13364.61,0.859,0.175,0.848,0.2716,0,3585.73,18000.0,0,0,0.2813,1
58227.69,40065.99,15000.0,3161.7,0.2576,28859.78,0.833,0.206,0.802,0.3119,1,9853.66,270000.0,1,23,0.8988,1
23532.06,20478.24,10000.0,-6946.18,0.425,727.73,0.534,0.389,0.734,0.1298,2,6280.24,240000.0,0,0,1.0,1
77861.35,42679.99,2500.0,32681.36,0.0321,30513.61,0.956,0.086,0.909,0.4518,0,9050.57,37500.0,1,11,0.0034,0
83560.34,44286.38,2500.0,36773.96,0.0299,30073.06,0.964,0.139,0.914,0.47,0,5469.91,37500.0,0,0,0.0032,0
56517.27,34323.4,1500.0,20693.87,0.0265,4530.94,0.706,0.106,0.89,0.3927,0,3381.18,18000.0,0,0,0.1544,0
51270.44,26895.35,0.0,24375.09,0.0,36795.98,0.904,0.103,0.934,0.4754,0,8630.46,0.0,1,6,0.0039,0
32705.71,20859.51,0.0,11846.19,0.0,15409.73,0.705,0.244,0.892,0.3622,0,4226.86,0.0,0,0,0.2598,0
34200.44,22567.0,3000.0,8633.44,0.0877,9386.68,0.832,0.142,0.912,0.3402,0,4663.06,36000.0,0,0,0.3475,1
39209.45,18475.28,2500.0,18234.17,0.0638,25157.66,0.901,0.062,0.885,0.5288,0,9277.3,37500.0,0,0,0.0291,0
61708.37,30526.78,0.0,31181.59,0.0,20674.08,0.935,0.09,0.942,0.5053,0,5226.52,0.0,0,0,0.0054,0
79447.46,42245.29,0.0,37202.17,0.0,30102.33,0.906,0.114,0.883,0.4683,0,9701.15,0.0,0,0,0.0027,0
52772.99,26867.96,5000.0,20905.03,0.0947,51113.18,0.931,0.146,0.971,0.4909,0,5346.81,75000.0,0,0,0.0048,0
40247.93,22709.4,1500.0,16038.53,0.0373,9509.2,0.869,0.103,0.888,0.4358,0,3354.49,18000.0,0,0,0.1123,0
107490.0,69547.56,10000.0,27942.44,0.093,27458.4,0.706,0.177,0.913,0.353,0,14914.55,180000.0,0,0,0.0455,0
51961.96,30457.58,5000.0,16504.38,0.0962,41619.37,0.934,0.125,0.955,0.4138,0,9512.76,75000.0,0,0,0.0136,0
102048.82,58967.93,3000.0,40080.9,0.0294,22517.87,0.831,0.164,0.848,0.4222,1,14555.46,54000.0,0,0,0.0298,0
35119.32,16356.22,2500.0,16263.1,0.0712,25532.26,0.96,0.129,0.959,0.5343,0,7472.1,37500.0,0,0,0.032,0
76626.8,36028.62,0.0,40598.18,0.0,28529.43,0.911,0.126,0.942,0.5298,0,5420.53,0.0,0,0,0.0018,0
42472.87,24051.1,0.0,18421.77,0.0,15490.17,0.897,0.156,0.813,0.4337,0,5841.75,0.0,0,0,0.0791,0
25357.73,18173.89,14000.0,-6816.16,0.5521,5040.17,0.612,0.356,0.727,0.2833,1,5970.5,336000.0,0,0,0.9999,1
66840.78,36709.56,2500.0,27631.22,0.0374,21727.69,0.977,0.087,0.909,0.4508,0,6117.98,37500.0,1,1,0.0101,0
34240.92,24474.02,10000.0,-233.1,0.292,3018.89,0.694,0.381,0.657,0.2852,2,5818.16,240000.0,1,23,0.9997,1
53898.03,40718.68,6000.0,7179.35,0.1113,1787.55,0.593,0.338,0.646,0.2445,1,7897.58,144000.0,1,26,0.9917,1
76256.36,40945.56,0.0,35310.79,0.0,24230.96,0.973,0.132,0.975,0.4631,0,8067.08,0.0,0,0,0.0028,0
31263.89,26952.93,18000.0,-13689.04,0.5757,2576.67,0.53,0.399,0.595,0.1379,4,7368.48,432000.0,1,20,1.0,1
60370.57,34588.98,5000.0,20781.59,0.0828,29445.15,0.98,0.15,0.936,0.4271,0,9723.83,75000.0,1,3,0.0217,0
41471.15,22159.7,2500.0,16811.45,0.0603,35354.92,0.929,0.061,0.947,0.4657,0,8861.59,37500.0,0,0,0.0103,0
52607.48,46048.94,10000.0,-3441.46,0.1901,5633.01,0.527,0.257,0.689,0.1247,2,6816.32,240000.0,0,0,0.9989,1
24153.02,15397.43,4500.0,4255.59,0.1863,17777.36,0.77,0.177,0.883,0.3625,0,4866.26,54000.0,0,0,0.6684,1
31852.82,23942.13,10000.0,-2089.32,0.3139,4194.61,0.696,0.373,0.582,0.2484,2,4960.58,240000.0,0,0,0.9998,1
40932.79,24002.0,1500.0,15430.78,0.0366,8240.48,0.879,0.171,0.863,0.4136,0,3576.87,18000.0,0,0,0.1998,0
33757.94,19761.97,0.0,13995.97,0.0,8828.51,0.724,0.169,0.785,0.4146,0,4510.25,0.0,0,0,0.3153,0
67506.86,45547.94,15000.0,6958.92,0.2222,26711.84,0.662,0.192,0.921,0.3253,0,7660.69,270000.0,0,0,0.6004,1
97612.13,46246.94,0.0,51365.19,0.0,26892.76,0.96,0.054,0.905,0.5262,0,9476.03,0.0,0,0,0.0005,0
60081.24,30432.56,0.0,29648.68,0.0,20444.6,0.922,0.088,0.882,0.4935,0,6057.24,0.0,0,0,0.0088,0
39745.78,27258.47,3000.0,9487.31,0.0755,15642.26,0.8,0.113,0.841,0.3142,0,5236.32,36000.0,0,0,0.2664,1
56178.96,26551.1,2500.0,27127.86,0.0445,23315.98,0.946,0.086,0.979,0.5274,0,6186.13,37500.0,0,0,0.0078,0
32794.86,19260.86,0.0,13534.0,0.0,10051.5,0.735,0.235,0.764,0.4127,0,4231.19,0.0,0,0,0.4204,0
29610.52,26468.67,18000.0,-14858.15,0.6079,1638.65,0.663,0.314,0.543,0.1061,2,7717.5,432000.0,1,23,1.0,1
32699.01,20101.25,1500.0,11097.76,0.0459,14282.39,0.802,0.136,0.77,0.3853,0,3865.89,18000.0,0,0,0.2994,0
61008.8,30902.05,0.0,30106.75,0.0,17889.84,0.927,0.063,0.886,0.4935,1,6611.77,0.0,1,3,0.0247,0
98245.1,58388.56,6000.0,33856.54,0.0611,36532.55,0.72,0.289,0.925,0.4057,1,7118.68,108000.0,1,22,0.0553,0
38692.72,25726.58,3000.0,9966.14,0.0775,11377.29,0.728,0.219,0.784,0.3351,0,3492.8,36000.0,0,0,0.6193,0
92244.37,52742.2,15000.0,24502.17,0.1626,41603.21,0.728,0.272,0.866,0.4282,0,10164.12,270000.0,0,0,0.0918,0
45493.7,30931.85,6000.0,8561.86,0.1319,25128.43,0.759,0.286,0.894,0.3201,0,14458.49,108000.0,1,10,0.4816,0
42075.02,27630.34,3000.0,11444.68,0.0713,16989.31,0.858,0.123,0.803,0.3433,0,5231.84,36000.0,0,0,0.2204,1
50078.17,36324.36,1500.0,12253.81,0.03,13608.14,0.864,0.117,0.894,0.2746,0,4191.86,18000.0,0,0,0.1179,0
74314.8,47892.21,10000.0,16422.59,0.1346,20578.83,0.778,0.254,0.881,0.3555,0,9111.26,180000.0,0,0,0.3447,0
15000.0,11886.02,18000.0,-14886.02,1.2,5244.07,0.531,0.397,0.626,0.2076,2,4072.44,432000.0,1,33,1.0,1
69215.14,37476.38,0.0,31738.76,0.0,32238.84,0.946,0.111,0.922,0.4586,0,9671.84,0.0,1,5,0.0027,0
38445.8,25691.6,1500.0,11254.2,0.039,16376.77,0.711,0.15,0.886,0.3317,0,4000.5,18000.0,0,0,0.2169,1
74347.56,34889.02,0.0,39458.54,0.0,30733.18,0.959,0.095,0.902,0.5307,0,5704.29,0.0,0,0,0.0014,0
74066.59,34994.89,2500.0,36571.7,0.0338,28427.86,0.951,0.051,0.946,0.5275,0,9805.35,37500.0,0,0,0.0019,0
100600.4,41589.74,2500.0,56510.65,0.0249,30592.18,0.917,0.14,0.901,0.5866,0,5182.75,37500.0,0,0,0.0006,0
82828.73,40433.06,0.0,42395.68,0.0,5000.0,0.945,0.066,0.898,0.5118,0,9730.58,0.0,0,0,0.0063,0
29115.39,16161.29,0.0,12954.1,0.0,19009.08,0.843,0.199,0.755,0.4449,0,3693.22,0.0,0,0,0.1882,0
71886.99,45328.29,3000.0,23558.71,0.0417,28915.0,0.67,0.186,0.908,0.3695,1,13471.98,54000.0,0,0,0.1247,1
68569.17,46576.78,3000.0,18992.38,0.0438,17501.15,0.667,0.181,0.804,0.3207,0,11247.37,54000.0,0,0,0.2188,0
26772.77,20130.04,10000.0,-3357.27,0.3735,4573.51,0.618,0.317,0.656,0.2481,2,6208.19,240000.0,0,0,0.9999,1
45774.58,32498.63,1500.0,11775.95,0.0328,11876.17,0.704,0.14,0.842,0.29,0,3773.66,18000.0,0,0,0.2922,0
27692.42,16739.0,0.0,10953.42,0.0,12403.27,0.883,0.118,0.848,0.3955,0,4662.53,0.0,0,0,0.1276,0
73271.31,36796.79,3000.0,33474.52,0.0409,29215.5,0.83,0.281,0.89,0.4978,0,11985.33,54000.0,0,0,0.0219,0
15000.0,12056.75,6000.0,-3056.75,0.4,1080.63,0.533,0.435,0.521,0.1962,2,4981.4,144000.0,0,0,1.0,1
48730.5,29697.55,1500.0,17532.95,0.0308,8464.89,0.795,0.2,0.909,0.3906,0,3644.82,18000.0,0,0,0.1939,0
42860.53,24014.12,1500.0,17346.41,0.035,5923.28,0.819,0.15,0.881,0.4397,0,3225.41,18000.0,0,0,0.1909,0
134375.68,78873.89,3000.0,52501.8,0.0223,24621.88,0.814,0.27,0.904,0.413,0,11312.08,54000.0,0,0,0.0041,0
37404.53,21957.46,1500.0,13947.08,0.0401,14482.69,0.875,0.21,0.887,0.413,0,5076.83,18000.0,0,0,0.1785,0
83245.86,45305.88,15000.0,22939.97,0.1802,11712.31,0.839,0.156,0.906,0.4558,1,7625.18,270000.0,0,0,0.4974,0
36466.4,32608.68,18000.0,-14142.28,0.4936,2680.09,0.595,0.466,0.711,0.1058,1,7315.66,432000.0,0,0,1.0,1
55482.56,23046.93,2500.0,29935.62,0.0451,26908.28,0.927,0.122,0.887,0.5846,0,7697.46,37500.0,0,0,0.01,0
44942.12,30253.81,0.0,14688.31,0.0,13132.13,0.705,0.231,0.754,0.3268,0,4586.81,0.0,0,0,0.3702,0
44231.71,34517.81,10000.0,-286.11,0.2261,1974.85,0.626,0.468,0.746,0.2196,3,5671.07,240000.0,0,0,0.9999,1
74495.33,42531.2,3000.0,28964.13,0.0403,22745.72,0.709,0.185,0.806,0.4291,0,14889.5,54000.0,0,0,0.0614,0
45941.33,27105.03,2500.0,16336.3,0.0544,36826.23,0.907,0.092,0.968,0.41,0,7337.01,37500.0,0,0,0.0108,0
39331.62,26413.04,1500.0,11418.57,0.0381,13969.81,0.746,0.126,0.787,0.3285,0,5338.75,18000.0,0,0,0.2885,0
83307.56,44919.78,0.0,38387.78,0.0,24292.54,0.965,0.072,0.902,0.4608,0,7964.7,0.0,0,0,0.0021,0
35099.72,20214.03,3000.0,11885.69,0.0855,14335.2,0.891,0.229,0.888,0.4241,0,4652.57,36000.0,0,0,0.307,0
24011.62,14453.82,3000.0,6557.81,0.1249,6970.64,0.799,0.112,0.787,0.398,0,3228.39,36000.0,0,0,0.6555,1
15000.0,12277.22,14000.0,-11277.22,0.9333,1694.67,0.57,0.42,0.641,0.1815,1,7514.52,336000.0,1,25,1.0,1
36056.18,31275.22,14000.0,-9219.05,0.3883,4072.51,0.636,0.405,0.688,0.1326,1,7523.48,336000.0,1,6,0.9999,1
75741.92,49133.91,3000.0,23608.01,0.0396,18331.53,0.814,0.275,0.876,0.3513,0,8583.34,54000.0,1,23,0.1167,0
73299.56,37235.96,2500.0,33563.6,0.0341,16497.52,0.909,0.126,0.934,0.492,0,6709.36,37500.0,0,0,0.0118,0
27535.66,20932.41,14000.0,-7396.75,0.5084,3291.13,0.513,0.396,0.586,0.2398,2,4182.97,336000.0,1,35,1.0,1
26410.78,22492.81,6000.0,-2082.03,0.2272,3565.82,0.504,0.331,0.622,0.1483,3,6733.18,144000.0,0,0,0.9999,1
28161.04,19965.11,1500.0,6695.94,0.0533,11289.04,0.744,0.112,0.866,0.291,0,3819.78,18000.0,0,0,0.3528,0
29775.87,26462.51,10000.0,-6686.64,0.3358,1279.56,0.628,0.349,0.569,0.1113,4,5637.34,240000.0,1,12,1.0,1
38593.65,24071.06,3000.0,11522.59,0.0777,11082.39,0.795,0.245,0.782,0.3763,0,5329.79,36000.0,0,0,0.5818,1
96498.23,60334.94,3000.0,33163.28,0.0311,29860.11,0.657,0.288,0.892,0.3748,0,10333.7,54000.0,0,0,0.035,0
32588.86,19230.85,1500.0,11858.01,0.046,19203.76,0.713,0.187,0.796,0.4099,0,3931.09,18000.0,0,0,0.3125,1
55215.41,28712.24,0.0,26503.17,0.0,5761.21,0.956,0.136,0.958,0.48,0,7402.53,0.0,0,0,0.0282,0
57216.21,39507.39,1500.0,16208.82,0.0262,11909.59,0.702,0.149,0.838,0.3095,0,4051.88,18000.0,0,0,0.2186,0
36567.9,21082.97,1500.0,13984.93,0.041,9072.49,0.838,0.22,0.784,0.4235,0,3313.7,18000.0,0,0,0.3961,1
89179.7,51206.43,2500.0,35473.27,0.028,33579.26,0.964,0.084,0.961,0.4258,0,9474.08,37500.0,0,0,0.0015,0
136881.52,82851.72,10000.0,44029.8,0.0731,19486.5,0.666,0.159,0.837,0.3947,0,13846.05,180000.0,0,0,0.0232,0
21684.24,18603.77,14000.0,-10919.53,0.6456,2206.05,0.6,0.389,0.68,0.1421,1,7985.34,336000.0,1,25,1.0,1
33981.95,18898.4,0.0,15083.55,0.0,12846.38,0.793,0.23,0.874,0.4439,0,4276.48,0.0,0,0,0.1911,0
25505.55,17727.67,1500.0,6277.88,0.0588,20006.95,0.875,0.235,0.822,0.3049,0,4777.05,18000.0,0,0,0.3657,0
37328.6,30845.07,14000.0,-7516.47,0.375,1119.29,0.526,0.429,0.727,0.1737,1,4950.17,336000.0,1,11,0.9999,1
15495.09,13545.03,10000.0,-8049.94,0.6454,2924.37,0.603,0.34,0.648,0.1259,1,5564.33,240000.0,1,13,1.0,1
112693.01,59296.22,15000.0,38396.8,0.1331,19335.37,0.741,0.185,0.811,0.4738,0,10677.97,270000.0,0,0,0.0714,0
46085.45,28731.01,10000.0,7354.45,0.217,21575.08,0.683,0.175,0.806,0.3766,0,11974.24,180000.0,0,0,0.7495,0
94066.39,63368.22,3000.0,27698.17,0.0319,35389.91,0.672,0.19,0.809,0.3263,0,14429.45,54000.0,0,0,0.0299,0
43861.12,26897.01,1500.0,15464.11,0.0342,11677.13,0.708,0.122,0.918,0.3868,1,3014.82,18000.0,0,0,0.3522,0
41163.28,32558.01,10000.0,-1394.73,0.2429,3519.73,0.598,0.417,0.535,0.2091,1,5231.72,240000.0,1,12,0.9996,1
69405.78,46753.71,3000.0,19652.07,0.0432,40312.25,0.789,0.276,0.942,0.3264,0,10474.57,54000.0,1,21,0.03,0
78582.89,34822.83,2500.0,41260.06,0.0318,41870.3,0.932,0.115,0.891,0.5569,0,9997.07,37500.0,0,0,0.001,0
42051.43,36016.08,10000.0,-3964.66,0.2378,2621.43,0.648,0.47,0.601,0.1435,1,6670.37,240000.0,1,28,0.9996,1
