monthly_income,monthly_expenses,monthly_emi,cash_flow_surplus,debt_to_income,average_balance,minimum_balance_ratio,income_stability,expense_volatility,transaction_regularity,negative_cashflow_months,income_trend_3m,utility_payment_consistency,digital_transaction_ratio,savings_rate,failed_payment_count,non_debt_recurring_obligations,existing_debt_amount,credit_history_available,credit_history_length,default_probability_ground_truth,default_risk
51832.86,26134.83,0.0,25698.03,0.0,156842.39,0.7257,0.972,0.108,0.907,0,0.0647,0.924,0.805,0.4958,0,8464.7,0.0,0,0,0.0034,0
39730.17,25065.09,0.0,14665.08,0.0,80243.38,0.522,0.896,0.147,0.913,0,-0.152,0.963,0.933,0.3691,0,3561.87,0.0,0,0,0.1008,0
38405.62,24091.68,2500.0,11813.95,0.0651,65286.09,0.4783,0.904,0.129,0.802,0,0.0273,0.879,0.91,0.3076,0,3636.01,30000.0,0,0,0.2508,0
44171.76,28177.28,0.0,15994.48,0.0,83248.06,0.425,0.888,0.152,0.855,0,0.0068,0.932,0.931,0.3621,0,4873.46,0.0,0,0,0.1269,0
62521.19,32492.79,3000.0,27028.4,0.048,162612.18,0.6251,0.971,0.09,0.903,0,0.051,0.963,0.799,0.4323,0,6123.09,45000.0,0,0,0.0039,0
54340.77,33987.98,2500.0,17852.79,0.046,86406.24,0.2463,0.894,0.144,0.824,0,0.0377,0.902,0.906,0.3285,0,3720.38,30000.0,0,0,0.2455,0
64069.29,32268.71,3000.0,28800.58,0.0468,181418.68,0.7842,0.969,0.1,0.908,0,0.0669,0.96,0.89,0.4495,0,8425.96,45000.0,0,0,0.0015,0
27286.18,20557.49,8000.0,-1271.32,0.2932,1289.86,0.0183,0.918,0.123,0.658,21,-0.1499,0.551,0.529,0.0,1,6716.15,192000.0,1,28,1.0,1
64563.78,32532.17,6000.0,26031.61,0.0929,162347.93,0.6672,0.978,0.106,0.965,0,0.0292,0.932,0.851,0.4032,1,5894.38,90000.0,0,0,0.0121,0
33416.41,25728.69,16000.0,-8312.28,0.4788,716.5,0.015,0.911,0.118,0.748,24,-0.1385,0.558,0.732,0.0,4,5406.08,384000.0,0,0,1.0,1
39343.34,24060.09,0.0,15283.25,0.0,78319.61,0.4463,0.896,0.121,0.874,0,0.1965,0.908,0.895,0.3885,0,4266.8,0.0,0,0,0.0576,0
38370.01,23939.53,0.0,14430.48,0.0,74342.53,0.3992,0.9,0.142,0.826,0,-0.0043,0.905,0.891,0.3761,0,3040.14,0.0,0,0,0.1834,1
41592.91,25808.34,1500.0,14284.57,0.0361,72379.58,0.3552,0.898,0.132,0.876,0,0.1451,0.931,0.836,0.3434,0,3308.73,18000.0,0,0,0.1442,0
24439.33,18475.77,12000.0,-6036.44,0.491,690.89,0.0205,0.921,0.095,0.69,24,-0.195,0.711,0.734,0.0,2,4417.82,288000.0,1,19,1.0,1
38694.08,23686.36,0.0,15007.71,0.0,76904.2,0.432,0.901,0.099,0.825,0,0.0992,0.973,0.872,0.3879,0,3109.52,0.0,0,0,0.0547,0
43476.8,27471.83,1500.0,14504.97,0.0345,77861.41,0.394,0.893,0.137,0.912,0,0.0718,0.853,0.858,0.3336,0,3050.77,18000.0,0,0,0.1795,1
49022.16,23568.53,6000.0,19453.63,0.1224,125467.95,0.7337,0.977,0.09,0.962,0,0.0388,0.926,0.874,0.3968,0,8937.61,90000.0,0,0,0.0097,0
108457.99,68286.73,4000.0,36171.26,0.0369,161168.65,0.325,0.878,0.135,0.828,0,0.2117,0.896,0.862,0.3335,0,10914.61,72000.0,0,0,0.0175,0
68740.35,35477.89,0.0,33262.46,0.0,191954.75,0.6003,0.973,0.1,0.915,0,0.0499,0.948,0.76,0.4839,0,8480.4,0.0,1,12,0.0017,0
36856.72,28642.34,8000.0,214.38,0.2171,7592.59,0.1584,0.929,0.082,0.723,13,-0.0972,0.749,0.718,0.0058,1,5188.73,192000.0,0,0,0.9971,1
81485.95,51316.87,4000.0,26169.08,0.0491,128818.54,0.4775,0.875,0.156,0.91,0,0.2375,0.832,0.842,0.3211,0,10907.8,72000.0,1,8,0.0468,0
24560.12,18551.19,12000.0,-5991.06,0.4886,534.1,0.0204,0.897,0.12,0.729,24,-0.1756,0.645,0.526,0.0,1,6830.85,288000.0,0,0,1.0,1
30178.42,22630.12,16000.0,-8451.7,0.5302,647.39,0.0166,0.924,0.082,0.715,24,-0.1252,0.779,0.744,0.0,1,5678.95,384000.0,1,11,1.0,1
63207.67,41047.5,4000.0,18160.17,0.0633,85485.76,0.3706,0.873,0.159,0.879,0,0.1986,0.83,0.751,0.2873,0,7546.1,72000.0,0,0,0.2761,0
35989.59,23115.62,1500.0,11373.97,0.0417,58376.11,0.395,0.884,0.161,0.932,0,0.1861,0.915,0.906,0.316,0,4413.55,18000.0,0,0,0.1968,0
39316.42,30024.71,8000.0,1291.72,0.2035,8109.2,0.1148,0.906,0.11,0.637,4,-0.1907,0.671,0.633,0.0329,2,6792.85,192000.0,1,28,0.9993,1
